companyname,datadate,tradingitemid,Factor_VALUE,Factor_QUALITY
Aflac Incorporated,31/12/2015,2586086,0.549291031,0.326099881
AGCO Corporation,31/12/2015,2586108,0.52617663,-0.952002992
Southern Company Gas,31/12/2015,2586118,0.238246304,-0.509698157
The AES Corporation,31/12/2015,2586130,0.573465666,-1.174224789
Time Warner Inc.,31/12/2015,2586256,0.226773338,0.079849012
Abbott Laboratories,31/12/2015,2586533,-0.222507706,0.286069913
"Acuity Brands, Inc.",31/12/2015,2586910,-1.17879088,1.166669718
Adobe Systems Incorporated,31/12/2015,2587024,-2.822702506,-0.141146119
Advance Auto Parts Inc.,31/12/2015,2587089,-0.361645754,1.319251829
Aetna Inc.,31/12/2015,2587390,0.322691684,0.723896189
Affiliated Managers Group Inc.,31/12/2015,2587400,-0.11873259,0.421882814
"Agilent Technologies, Inc.",31/12/2015,2587460,-0.521891192,-0.478439936
Agnico Eagle Mines Limited,31/12/2015,2587464,0.403960625,-0.732356092
"Air Products and Chemicals, Inc.",31/12/2015,2587580,-0.257283103,0.225333765
"Airgas, Inc.",31/12/2015,2587606,-0.166859177,0.151676126
"Akamai Technologies, Inc.",31/12/2015,2587662,-0.56549103,0.640220632
Albemarle Corporation,31/12/2015,2587814,-0.250707405,-0.403556549
Alcoa Inc.,31/12/2015,2587881,0.453660653,0.487468594
"Alexion Pharmaceuticals, Inc.",31/12/2015,2587941,-3.178899832,0.248947206
Alimentation Couche-Tard Inc.,31/12/2015,2588009,-0.485520186,0.803854968
Alleghany Corporation,31/12/2015,2588065,0.516468832,-0.108523958
Alliance Data Systems Corporation,31/12/2015,2588150,-1.295082524,-1.122757043
Alliant Energy Corporation,31/12/2015,2588182,0.258347477,-0.546824851
The Allstate Corporation,31/12/2015,2588294,0.634046868,0.051904959
Altera Corp.,31/12/2015,2588450,-1.356043087,-0.330428729
"Amazon.com, Inc.",31/12/2015,2588568,-4.412485394,-0.014416202
AMERCO,31/12/2015,2588648,0.065951219,0.602519528
Ameren Corporation,31/12/2015,2588654,0.326850954,-0.384248126
"American Electric Power Co., Inc.",31/12/2015,2588872,0.350600819,-0.428882013
American Express Company,31/12/2015,2588913,0.113777475,-0.626235461
"American International Group, Inc.",31/12/2015,2589073,0.562811427,-0.882320791
AmerisourceBergen Corporation,31/12/2015,2589547,0.150806825,-0.93300918
Ametek Inc.,31/12/2015,2589719,-0.238764397,0.496492422
Amgen Inc.,31/12/2015,2589769,-0.37243737,0.264890021
Amphenol Corporation,31/12/2015,2589819,-0.426962084,0.730652024
Anadarko Petroleum Corporation,31/12/2015,2589895,0.752926686,-3.288108782
"Analog Devices, Inc.",31/12/2015,2589909,-0.44295337,1.025324322
"Annaly Capital Management, Inc.",31/12/2015,2590120,3.307735851,-0.979046948
"Ansys, Inc.",31/12/2015,2590144,-0.893424786,0.230151335
Aon plc,31/12/2015,2590230,-0.164329146,0.162390433
Apache Corp.,31/12/2015,2590238,0.800889214,-3.560233364
Apple Inc.,31/12/2015,2590360,-0.093304431,2.605037175
"Applied Materials, Inc.",31/12/2015,2590440,0.211556089,0.161862525
Archer-Daniels-Midland Company,31/12/2015,2590635,0.579501865,-0.023491709
"Arrow Electronics, Inc.",31/12/2015,2590929,0.625935573,-0.085373778
ATCO Ltd.,31/12/2015,2591351,0.464310484,-0.744830548
"Autodesk, Inc.",31/12/2015,2591749,0.072014519,-0.907254266
"Autoliv, Inc.",31/12/2015,2591775,-0.023027723,0.144362396
"Automatic Data Processing, Inc.",31/12/2015,2591803,-1.051428951,1.65433546
"AutoNation, Inc.",31/12/2015,2591819,0.232176574,0.356615017
"AutoZone, Inc.",31/12/2015,2591829,2.261650891,3.622311276
"AvalonBay Communities, Inc.",31/12/2015,2591859,-1.146985374,-0.270745385
Avery Dennison Corporation,31/12/2015,2591945,-0.179416479,0.587264253
"Avnet, Inc.",31/12/2015,2592011,0.659691729,0.01302289
BB&T Corporation,31/12/2015,2592140,0.392088759,-0.42297219
Baker Hughes Incorporated,31/12/2015,2592597,0.808744035,-1.323263397
Ball Corporation,31/12/2015,2592681,-0.818857505,-0.325873686
Bank of America Corporation,31/12/2015,2592914,0.535505407,-0.756614104
Bank of Montreal,31/12/2015,2592992,0.458674145,-0.118238407
The Bank of Nova Scotia,31/12/2015,2593034,0.406591239,0.080823451
CR Bard Inc.,31/12/2015,2593346,-2.088933634,0.795146663
Barrick Gold Corporation,31/12/2015,2593380,0.911777765,-2.267086545
Baxter International Inc.,31/12/2015,2593695,-0.594287058,-1.234701573
B/E Aerospace Inc.,31/12/2015,2593777,-0.928876759,1.958592829
"Becton, Dickinson and Company",31/12/2015,2593888,-0.680351582,-0.114675508
Bed Bath & Beyond Inc.,31/12/2015,2593890,0.316024592,1.535919991
W.R. Berkley Corporation,31/12/2015,2594140,0.496435666,0.002703846
Berkshire Hathaway Inc.,31/12/2015,2594156,0.400068762,-0.582199512
"Best Buy Co., Inc.",31/12/2015,2594192,0.450802496,1.050421241
BioMarin Pharmaceutical Inc.,31/12/2015,2594499,1.394253682,-1.151806907
"Valeant Pharmaceuticals International, Inc.",31/12/2015,2594580,-1.368707141,-1.065904228
"BlackRock, Inc.",31/12/2015,2594723,0.022460322,0.00987973
"H&R Block, Inc.",31/12/2015,2594761,-0.340254748,2.019358363
The Boeing Company,31/12/2015,2594884,-1.45264807,1.619126879
Bombardier Inc.,31/12/2015,2594928,0.845434417,1.088588607
BorgWarner Inc.,31/12/2015,2595046,0.29603891,0.312612277
